core_service,process_type,classvariable,key,return_variable
CoreCustomerContract,scopeMTL,scopeGridObj,recStatus,recStatus
CoreCustomerContract,scopeMTL,scopeGridObj,SCOPE_CATEGORY,strScopeCategory
CoreCustomerContract,scopeMTL,scopeGridObj,SCOPE_DESC,strScopeDescription
CoreCustomerContract,scopeMTL,scopeGridObj,REMARKS,strRemarks
CoreCustomerContract,scopeMTL,scopeGridObj,ATTACH_DOCUMENT,strAttachDocument
CoreCustomerContract,carrierMTL,carrierGridObj,recStatus,recStatus
CoreCustomerContract,carrierMTL,carrierGridObj,CARRIER_CONTRACT_NO,strCarrierContractNo
CoreCustomerContract,carrierMTL,carrierGridObj,CARRIER_CODE,strCarrierCode
CoreCustomerContract,tariffMTL,tariffGridObj,recStatus,recStatus
CoreCustomerContract,tariffMTL,tariffGridObj,SCOPE_CATEGORY,strScopeCategory
CoreCustomerContract,tariffMTL,tariffGridObj,SCOPE_DESC,strScopeDescription
CoreCustomerContract,tariffMTL,tariffGridObj,REMARKS,strRemarks
CoreCustomerContract,tariffMTL,tariffGridObj,CAR_CONT_NO,strContractNo
CoreCustomerContract,tariffMTL,tariffGridObj,ORIGIN,strOrigin
CoreCustomerContract,tariffMTL,tariffGridObj,DESTINATION,strDestination
CoreCustomerContract,tariffMTL,tariffGridObj,VEHICLE_CATEGORY,strVehicleCategory
CoreCustomerContract,tariffMTL,tariffGridObj,TRAN_MODE,strTranMode
CoreCustomerContract,tariffMTL,tariffGridObj,PRICE_BASIS,strPriceBasis
CoreCustomerContract,tariffMTL,tariffGridObj,PRICE,iPrice
CoreCustomerContract,tariffMTL,tariffGridObj,SLAB_FROM_VALUE,iSlabFromValue
CoreCustomerContract,tariffMTL,tariffGridObj,SLAB_TO_VALUE,iSlabToValue
CoreCustomerContract,tariffMTL,tariffGridObj,SLAB_BASIS,strSlabBasis
CoreCustomerContract,tariffMTL,tariffGridObj,REMARKS,strRemarks
CoreCustomerContract,tariffMTL,tariffGridObj,AMENDMENT_NO,iAmendmentNo
CoreInspectorService,MTLProcess,assignInspectorObj,recStatus,recStatus
CoreInspectorService,MTLProcess,assignInspectorObj,select,select
CoreInspectorService,MTLProcess,assignInspectorObj,INSPECTION_DATE,dtInspectionDate
CoreInspectorService,MTLProcess,assignInspectorObj,INSPECTION_TIME,iInspectionTime
CoreInspectorService,MTLProcess,assignInspectorObj,TRUCK_CODE,strTruckCode
CoreInspectorService,MTLProcess,assignInspectorObj,TRUCK_DESC,strTruckDesc
CoreInspectorService,MTLProcess,assignInspectorObj,DRIVER_CODE,strDriverCode
CoreInspectorService,MTLProcess,assignInspectorObj,DRIVER_NAME,strDriverName
CoreInspectorService,MTLProcess,assignInspectorObj,INSPECTION_NO,strInspectionNo
CoreInspectionsService,inspectionCache,inspectionCacheObj,recStatus,recStatus
CoreInspectionsService,inspectionCache,inspectionCacheObj,REFERENCE_TYPE,strRefType
CoreInspectionsService,inspectionCache,inspectionCacheObj,REFERENCE_NO,strRefNo
CoreInspectionsService,inspectionCache,inspectionCacheObj,REMARKS,strRemarks
CoreInspectionsService,inspectionCache,inspectionCacheObj,ATTACH_DOCUMENT,strAttachDocument
CoreInspectionsService,assigninspector,assignInspectorObj,recStatus,recStatus
CoreInspectionsService,assigninspector,assignInspectorObj,select,select
CoreInspectionsService,assigninspector,assignInspectorObj,INSPECTION_DATE,dtInspectionDate
CoreInspectionsService,assigninspector,assignInspectorObj,INSPECTION_TIME,iInspectionTime
CoreInspectionsService,assigninspector,assignInspectorObj,TRUCK_CODE,strTruckCode
CoreInspectionsService,assigninspector,assignInspectorObj,TRUCK_DESC,strTruckDesc
CoreInspectionsService,assigninspector,assignInspectorObj,DRIVER_CODE,strDriverCode
CoreInspectionsService,assigninspector,assignInspectorObj,DRIVER_NAME,strDriverName
CoreInspectionsService,assigninspector,assignInspectorObj,INSPECTION_NO,strInspectionNo
CoreInspectionsService,assigninspector,assignInspectorObj,INSPECTOR_NAME,strInspectorName
CoreInspectionsService,assigninspector,assignInspectorObj,WAYBILL_NO,strWaybillNo
CoreInspectionsService,assigninspector,assignInspectorObj,INSPECTION_STATUS,strInspectionStatus
CoreInspectionsService,assigninspector,assignInspectorObj,VEHICLE_CATEGORY,strVehicleCategory
CoreInspectionsService,checkLoadList,checkLoadListObj,recStatus,recStatus
CoreInspectionsService,checkLoadList,checkLoadListObj,CHK_LIST_CODE,strCheckListCode
CoreInspectionsService,checkLoadList,checkLoadListObj,CHKLST_DTL_SEQ_NO,iChkLstDtlSeqNo
CoreInspectionsService,checkLoadList,checkLoadListObj,CHKLST_DTL_DESC,strCheckListDesc
CoreInspectionsService,checkLoadList,checkLoadListObj,OPTION_DESCCSV,strOptionDescCsv
CoreInspectionsService,checkLoadList,checkLoadListObj,ANSWER,strAnswer
CoreInspectionsService,checkLoadList,checkLoadListObj,IMAGES,strImages
CoreInspectionsService,checkLoadList,checkLoadListObj,ANSWER_NXT,strAnswerNxt
CoreInspectionsService,checkLoadList,checkLoadListObj,ANSWER_LST,strAnswerLst
CoreInspectionsService,checkLoadList,checkLoadListObj,CHKLST_DTL_SEQ_NO_LST,iSeqNoLst
CoreInspectionsService,checkLoadList,checkLoadListObj,CHKLST_DTL_SEQ_NO_NXT,iSeqNoNxt
CoreInspectionsService,checkLoadList,checkLoadListObj,IMAGES_NXT,strImagesNxt
CoreInspectionsService,checkLoadList,checkLoadListObj,IMAGES_LST,strImagesLst
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,recStatus,recStatus
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,CHK_LIST_CODE,strCheckListCode
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,CHKLST_DTL_SEQ_NO,iSeqNo
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,ANSWER,strAnswer
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,ANSWER_NXT,strAnswerNxt
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,ANSWER_LST,strAnswerLst
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,CHKLST_DTL_SEQ_NO_NXT,iSeqNoNxt
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,CHKLST_DTL_SEQ_NO_LST,iSeqNoLst
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,IMAGES,strImages
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,IMAGES_NXT,strImagesNxt
CoreInspectionsService,newCheckListGrid,newCheckListGridObj,IMAGES_LST,strImagesLst
CoreInspectionsService,MTLProcessMobile,AcknowledgeObj,INSPECTION_NO,strInspectionNo
CoreInspectionsService,MTLProcessMobile,AcknowledgeObj,INSPECTION_TYPE,strInspectionType
CoreInspectionsService,assignCache,assignCacheObj,recStatus,recStatus
CoreInspectionsService,assignCache,assignCacheObj,STEP_NAME,strStepName
CoreInspectionsService,assignCache,assignCacheObj,STEP_DATE,strStep_date
CoreInspectionsService,assignCache,assignCacheObj,STEP_TIME,strStep_Time
CoreInspectionsService,assignCache,assignCacheObj,INSPECTOR_NAME,strInspector_name
CoreInspectionsService,assignCache,assignCacheObj,INSPECTION_POINT,strInspection_point
CoreInspectionsService,assignCache,assignCacheObj,ASSIGN_STATUS,strAssignStatus
CoreInspectionsService,assignCache,assignCacheObj,select,strSelect
CoreInspectionsService,fetchcheckListGrid,fetchcheckListGridObj,recStatus,recStatus
CoreInspectionsService,fetchcheckListGrid,fetchcheckListGridObj,CHK_LIST_CODE,strCheckListCode
